i,date,pm10,station_code,station_name,max_temp,min_temp,mean_temp,min_ground_temp,sum_precipitation,type_precipitation,show_height
0,2001-01-01,18.95,250190390,KRAKÓW-OBSERWATORIUM,1.9,-6.2,-3.8,-11.8,0.0,W,7
1,2001-01-02,,250190390,KRAKÓW-OBSERWATORIUM,2.3,-8.0,-2.6,-11.8,0.2,W,6
2,2001-01-03,60.1,250190390,KRAKÓW-OBSERWATORIUM,1.4,-4.6,-1.2,-6.7,9.6,W,5
3,2001-01-04,33.9,250190390,KRAKÓW-OBSERWATORIUM,7.3,1.4,3.2,-3.3,0.0,W,4
4,2001-01-05,34.849999999999994,250190390,KRAKÓW-OBSERWATORIUM,6.1,-1.3,2.1,-4.5,0.0,W,4
5,2001-01-06,35.35,250190390,KRAKÓW-OBSERWATORIUM,8.8,2.5,4.9,-1.2,0.3,W,3
6,2001-01-07,40.35,250190390,KRAKÓW-OBSERWATORIUM,5.8,3.9,4.5,1.2,1.6,W,0
7,2001-01-08,27.1,250190390,KRAKÓW-OBSERWATORIUM,4.2,3.6,3.8,1.8,23.3,S,0
8,2001-01-09,17.25,250190390,KRAKÓW-OBSERWATORIUM,3.8,0.3,1.7,0.0,3.2,W,5
9,2001-01-10,31.4,250190390,KRAKÓW-OBSERWATORIUM,4.7,-0.4,1.4,-4.2,3.8,S,4
10,2001-01-11,37.400000000000006,250190390,KRAKÓW-OBSERWATORIUM,2.2,-1.3,0.1,-3.4,0.8,S,4
11,2001-01-12,16.85,250190390,KRAKÓW-OBSERWATORIUM,0.8,-3.3,-1.3,-5.0,0.0,W,3
12,2001-01-13,23.9,250190390,KRAKÓW-OBSERWATORIUM,-0.1,-2.6,-1.6,-4.2,0.1,S,3
13,2001-01-14,38.95,250190390,KRAKÓW-OBSERWATORIUM,-1.4,-5.4,-3.7,-6.6,0.0,,3
14,2001-01-15,49.3,250190390,KRAKÓW-OBSERWATORIUM,-0.6,-5.4,-3.1,-7.8,0.0,,3
15,2001-01-16,25.200000000000003,250190390,KRAKÓW-OBSERWATORIUM,-1.1,-3.6,-2.6,-3.6,0.3,S,3
16,2001-01-17,32.95,250190390,KRAKÓW-OBSERWATORIUM,-3.0,-6.8,-5.4,-7.7,0.4,S,3
17,2001-01-18,42.0,250190390,KRAKÓW-OBSERWATORIUM,-4.6,-7.3,-6.1,-8.7,0.9,S,4
18,2001-01-19,53.3,250190390,KRAKÓW-OBSERWATORIUM,-3.6,-8.5,-6.6,-9.6,0.0,,5
19,2001-01-20,67.2,250190390,KRAKÓW-OBSERWATORIUM,-0.8,-8.2,-4.3,-10.3,0.0,,5
20,2001-01-21,45.1,250190390,KRAKÓW-OBSERWATORIUM,-1.9,-6.2,-4.6,-7.2,0.0,,4
21,2001-01-22,31.0,250190390,KRAKÓW-OBSERWATORIUM,-1.2,-5.0,-3.4,-6.3,0.0,,4
22,2001-01-23,30.8,250190390,KRAKÓW-OBSERWATORIUM,2.1,-4.4,-1.1,-6.0,0.0,,4
23,2001-01-24,22.8,250190390,KRAKÓW-OBSERWATORIUM,6.1,-3.2,0.9,-7.2,5.4,W,4
24,2001-01-25,30.05,250190390,KRAKÓW-OBSERWATORIUM,6.0,2.1,3.5,-1.2,2.1,W,3
25,2001-01-26,29.5,250190390,KRAKÓW-OBSERWATORIUM,7.9,2.8,4.5,-0.5,0.7,W,0
26,2001-01-27,37.95,250190390,KRAKÓW-OBSERWATORIUM,3.4,1.1,2.2,-0.3,0.1,W,0
27,2001-01-28,24.45,250190390,KRAKÓW-OBSERWATORIUM,8.8,-0.1,2.7,-3.4,0.0,,0
28,2001-01-29,48.5,250190390,KRAKÓW-OBSERWATORIUM,4.7,-1.9,1.3,-4.9,0.0,,0
29,2001-01-30,21.200000000000003,250190390,KRAKÓW-OBSERWATORIUM,2.6,-0.9,0.6,-3.9,0.2,S,0
30,2001-01-31,12.4,250190390,KRAKÓW-OBSERWATORIUM,0.9,-0.5,0.0,-0.8,1.6,S,0
31,2001-02-01,12.9,250190390,KRAKÓW-OBSERWATORIUM,0.0,-2.2,-1.4,-5.7,0.4,S,2
32,2001-02-02,21.8,250190390,KRAKÓW-OBSERWATORIUM,0.0,-2.7,-1.9,-4.9,0.6,S,2
33,2001-02-03,25.05,250190390,KRAKÓW-OBSERWATORIUM,-2.6,-10.5,-6.9,-15.7,2.2,S,3
34,2001-02-04,31.35,250190390,KRAKÓW-OBSERWATORIUM,-4.1,-7.3,-5.5,-8.7,3.5,S,5
35,2001-02-05,42.900000000000006,250190390,KRAKÓW-OBSERWATORIUM,7.1,-4.9,0.9,-4.9,0.6,W,8
36,2001-02-06,22.9,250190390,KRAKÓW-OBSERWATORIUM,11.6,1.4,5.1,-2.0,0.1,W,4
37,2001-02-07,49.15,250190390,KRAKÓW-OBSERWATORIUM,13.0,0.4,4.8,-2.2,0.0,,0
38,2001-02-08,52.05,250190390,KRAKÓW-OBSERWATORIUM,14.2,1.5,6.2,-1.7,0.0,,0
39,2001-02-09,34.65,250190390,KRAKÓW-OBSERWATORIUM,16.1,0.8,6.9,-2.3,0.8,W,0
40,2001-02-10,16.299999999999997,250190390,KRAKÓW-OBSERWATORIUM,9.6,3.0,5.5,1.1,0.0,,0
41,2001-02-11,26.450000000000003,250190390,KRAKÓW-OBSERWATORIUM,6.0,-2.8,0.4,-5.7,0.0,,0
42,2001-02-12,52.05,250190390,KRAKÓW-OBSERWATORIUM,13.3,-2.2,4.3,-4.5,0.0,,0
43,2001-02-13,26.9,250190390,KRAKÓW-OBSERWATORIUM,7.3,3.8,4.9,-0.8,0.8,W,0
44,2001-02-14,26.75,250190390,KRAKÓW-OBSERWATORIUM,4.9,2.4,3.3,-0.7,0.0,,0
45,2001-02-15,44.3,250190390,KRAKÓW-OBSERWATORIUM,10.3,-1.2,3.6,-4.1,0.0,,0
46,2001-02-16,72.25,250190390,KRAKÓW-OBSERWATORIUM,11.5,-1.1,3.2,-4.7,0.0,,0
47,2001-02-17,62.25,250190390,KRAKÓW-OBSERWATORIUM,3.3,-2.1,0.2,-4.8,0.0,,0
48,2001-02-18,19.65,250190390,KRAKÓW-OBSERWATORIUM,2.1,-1.8,-0.1,-4.7,2.1,S,0
49,2001-02-19,16.0,250190390,KRAKÓW-OBSERWATORIUM,3.5,-1.7,0.7,-5.6,0.3,S,4
50,2001-02-20,18.15,250190390,KRAKÓW-OBSERWATORIUM,3.0,0.5,1.6,-0.7,1.3,S,1
51,2001-02-21,11.15,250190390,KRAKÓW-OBSERWATORIUM,3.0,0.7,1.7,-0.1,5.6,S,0
52,2001-02-22,12.7,250190390,KRAKÓW-OBSERWATORIUM,3.4,-1.9,0.5,-4.7,3.5,S,0
53,2001-02-23,24.15,250190390,KRAKÓW-OBSERWATORIUM,2.0,-2.9,-1.5,-7.2,0.0,W,4
54,2001-02-24,32.35,250190390,KRAKÓW-OBSERWATORIUM,-0.7,-6.3,-4.0,-10.2,0.3,S,2
55,2001-02-25,46.95,250190390,KRAKÓW-OBSERWATORIUM,0.2,-10.7,-6.4,-12.7,0.0,,1
56,2001-02-26,76.45,250190390,KRAKÓW-OBSERWATORIUM,0.2,-11.0,-6.4,-13.2,0.1,S,1
57,2001-02-27,52.75,250190390,KRAKÓW-OBSERWATORIUM,-0.3,-4.8,-2.7,-8.2,0.1,S,2
58,2001-02-28,44.45,250190390,KRAKÓW-OBSERWATORIUM,4.7,-9.8,-3.7,-12.7,0.0,,2
59,2001-03-01,55.6,250190390,KRAKÓW-OBSERWATORIUM,4.7,-1.8,1.3,-5.2,0.7,W,0
60,2001-03-02,54.0,250190390,KRAKÓW-OBSERWATORIUM,6.6,-2.7,0.7,-5.1,0.5,S,0
61,2001-03-03,44.05,250190390,KRAKÓW-OBSERWATORIUM,6.0,-1.7,1.7,-5.2,0.5,S,1
62,2001-03-04,70.8,250190390,KRAKÓW-OBSERWATORIUM,5.4,1.7,3.4,0.6,1.1,W,0
63,2001-03-05,,250190390,KRAKÓW-OBSERWATORIUM,6.0,1.1,3.1,0.3,8.0,S,0
64,2001-03-06,44.65,250190390,KRAKÓW-OBSERWATORIUM,5.4,-2.0,0.9,-4.2,0.0,,0
65,2001-03-07,66.55,250190390,KRAKÓW-OBSERWATORIUM,11.3,-4.2,2.3,-6.7,0.0,,0
66,2001-03-08,66.7,250190390,KRAKÓW-OBSERWATORIUM,12.8,-0.6,5.2,-4.0,0.0,,0
67,2001-03-09,68.7,250190390,KRAKÓW-OBSERWATORIUM,17.1,0.9,8.0,-2.1,2.5,W,0
68,2001-03-10,54.05,250190390,KRAKÓW-OBSERWATORIUM,12.6,7.4,9.0,3.2,0.9,W,0
69,2001-03-11,42.1,250190390,KRAKÓW-OBSERWATORIUM,15.0,3.2,8.3,-0.7,0.0,W,0
70,2001-03-12,54.6,250190390,KRAKÓW-OBSERWATORIUM,17.0,3.3,9.3,-0.7,0.0,,0
71,2001-03-13,38.150000000000006,250190390,KRAKÓW-OBSERWATORIUM,12.8,7.4,8.9,3.2,3.3,W,0
72,2001-03-14,29.8,250190390,KRAKÓW-OBSERWATORIUM,10.4,2.5,5.4,-0.8,0.5,W,0
73,2001-03-15,34.15,250190390,KRAKÓW-OBSERWATORIUM,11.1,0.4,4.7,-3.2,6.0,W,0
74,2001-03-16,32.6,250190390,KRAKÓW-OBSERWATORIUM,12.2,2.2,7.0,2.0,0.0,,0
75,2001-03-17,29.6,250190390,KRAKÓW-OBSERWATORIUM,9.9,5.0,6.9,4.2,6.5,W,0
76,2001-03-18,23.55,250190390,KRAKÓW-OBSERWATORIUM,5.0,2.2,3.2,2.0,1.5,S,0
77,2001-03-19,38.95,250190390,KRAKÓW-OBSERWATORIUM,12.5,0.9,5.8,-1.2,4.5,S,0
78,2001-03-20,26.25,250190390,KRAKÓW-OBSERWATORIUM,7.8,-0.6,1.8,-2.2,0.4,S,0
79,2001-03-21,31.700000000000003,250190390,KRAKÓW-OBSERWATORIUM,2.4,-4.0,-1.3,-6.2,0.0,,0
80,2001-03-22,36.0,250190390,KRAKÓW-OBSERWATORIUM,6.7,-3.3,1.4,-4.8,0.4,W,0
81,2001-03-23,47.0,250190390,KRAKÓW-OBSERWATORIUM,5.5,2.2,3.4,1.9,3.6,S,0
82,2001-03-24,45.35,250190390,KRAKÓW-OBSERWATORIUM,7.0,0.6,3.6,0.1,2.6,W,0
83,2001-03-25,24.45,250190390,KRAKÓW-OBSERWATORIUM,5.9,2.1,3.6,1.8,4.1,S,0
84,2001-03-26,22.4,250190390,KRAKÓW-OBSERWATORIUM,2.1,-1.0,0.0,-1.2,3.5,S,0
85,2001-03-27,26.65,250190390,KRAKÓW-OBSERWATORIUM,-0.6,-1.9,-1.2,-2.2,0.1,S,2
86,2001-03-28,28.8,250190390,KRAKÓW-OBSERWATORIUM,0.6,-2.3,-1.1,-2.3,0.1,S,1
87,2001-03-29,37.95,250190390,KRAKÓW-OBSERWATORIUM,7.0,-3.0,1.8,-4.7,0.0,,0
88,2001-03-30,41.35,250190390,KRAKÓW-OBSERWATORIUM,16.0,-1.1,6.6,-4.0,0.0,,0
89,2001-03-31,58.150000000000006,250190390,KRAKÓW-OBSERWATORIUM,11.5,1.0,6.0,-1.9,1.2,W,0
90,2001-04-01,57.5,250190390,KRAKÓW-OBSERWATORIUM,16.5,4.5,9.4,3.2,0.0,,0
91,2001-04-02,63.9,250190390,KRAKÓW-OBSERWATORIUM,18.3,2.1,9.5,-1.2,0.0,,0
92,2001-04-03,75.3,250190390,KRAKÓW-OBSERWATORIUM,21.7,3.6,11.8,-0.2,0.0,,0
93,2001-04-04,57.95,250190390,KRAKÓW-OBSERWATORIUM,21.7,5.5,12.9,1.6,0.0,,0
94,2001-04-05,41.8,250190390,KRAKÓW-OBSERWATORIUM,16.0,5.9,9.8,1.4,1.9,W,0
95,2001-04-06,40.25,250190390,KRAKÓW-OBSERWATORIUM,14.3,2.5,7.7,0.7,0.5,W,0
96,2001-04-07,28.3,250190390,KRAKÓW-OBSERWATORIUM,17.5,5.3,11.2,1.3,0.0,,0
97,2001-04-08,29.4,250190390,KRAKÓW-OBSERWATORIUM,18.5,10.6,13.5,8.3,3.3,W,0
98,2001-04-09,15.75,250190390,KRAKÓW-OBSERWATORIUM,13.2,4.2,7.3,4.1,25.5,W,0
99,2001-04-10,25.55,250190390,KRAKÓW-OBSERWATORIUM,6.9,4.5,5.7,4.3,7.1,W,0
100,2001-04-11,26.25,250190390,KRAKÓW-OBSERWATORIUM,8.3,5.6,7.0,5.5,1.8,W,0
101,2001-04-12,38.4,250190390,KRAKÓW-OBSERWATORIUM,10.0,6.2,7.7,4.8,1.6,S,0
102,2001-04-13,23.75,250190390,KRAKÓW-OBSERWATORIUM,7.3,-0.3,2.4,-2.2,2.7,S,1
103,2001-04-14,20.75,250190390,KRAKÓW-OBSERWATORIUM,4.0,0.1,1.4,-0.2,0.3,S,0
104,2001-04-15,19.200000000000003,250190390,KRAKÓW-OBSERWATORIUM,7.8,-1.9,2.8,-3.7,0.0,,0
105,2001-04-16,16.8,250190390,KRAKÓW-OBSERWATORIUM,10.8,4.3,7.3,2.6,0.5,W,0
106,2001-04-17,30.3,250190390,KRAKÓW-OBSERWATORIUM,13.0,2.8,7.4,-0.2,0.0,,0
107,2001-04-18,46.6,250190390,KRAKÓW-OBSERWATORIUM,11.5,2.8,6.8,-0.2,0.0,W,0
108,2001-04-19,44.15,250190390,KRAKÓW-OBSERWATORIUM,13.4,4.4,8.5,0.6,1.6,W,0
109,2001-04-20,37.4,250190390,KRAKÓW-OBSERWATORIUM,12.2,6.4,8.8,5.8,15.9,W,0
110,2001-04-21,23.6,250190390,KRAKÓW-OBSERWATORIUM,10.0,7.6,8.6,7.4,15.6,W,0
111,2001-04-22,19.0,250190390,KRAKÓW-OBSERWATORIUM,8.9,4.2,5.7,4.2,19.8,W,0
112,2001-04-23,40.1,250190390,KRAKÓW-OBSERWATORIUM,7.2,3.5,5.4,3.3,1.8,W,0
113,2001-04-24,26.25,250190390,KRAKÓW-OBSERWATORIUM,8.1,6.1,7.1,5.3,36.2,W,0
114,2001-04-25,26.85,250190390,KRAKÓW-OBSERWATORIUM,16.3,7.2,11.2,6.8,0.0,,0
115,2001-04-26,29.45,250190390,KRAKÓW-OBSERWATORIUM,13.2,6.6,9.8,4.2,5.6,W,0
116,2001-04-27,31.45,250190390,KRAKÓW-OBSERWATORIUM,16.5,5.7,10.8,3.3,0.0,,0
117,2001-04-28,33.3,250190390,KRAKÓW-OBSERWATORIUM,19.2,6.8,12.7,3.5,0.2,W,0
118,2001-04-29,27.55,250190390,KRAKÓW-OBSERWATORIUM,21.6,9.0,15.2,5.8,0.0,,0
119,2001-04-30,36.45,250190390,KRAKÓW-OBSERWATORIUM,26.7,8.3,17.5,4.7,0.0,,0
120,2001-05-01,36.2,250190390,KRAKÓW-OBSERWATORIUM,28.0,11.2,19.4,8.6,0.0,,0
121,2001-05-02,38.2,250190390,KRAKÓW-OBSERWATORIUM,26.5,11.0,18.4,7.8,0.0,,0
122,2001-05-03,28.0,250190390,KRAKÓW-OBSERWATORIUM,24.0,9.3,16.4,6.4,0.0,,0
123,2001-05-04,41.3,250190390,KRAKÓW-OBSERWATORIUM,27.7,10.1,18.3,7.8,0.0,,0
124,2001-05-05,37.2,250190390,KRAKÓW-OBSERWATORIUM,24.6,11.8,16.6,9.3,2.7,W,0
125,2001-05-06,26.55,250190390,KRAKÓW-OBSERWATORIUM,21.5,11.4,15.0,9.3,7.1,W,0
126,2001-05-07,22.2,250190390,KRAKÓW-OBSERWATORIUM,14.0,11.0,12.2,10.9,7.7,W,0
127,2001-05-08,30.450000000000003,250190390,KRAKÓW-OBSERWATORIUM,16.2,9.8,12.4,9.8,8.1,W,0
128,2001-05-09,23.75,250190390,KRAKÓW-OBSERWATORIUM,19.1,8.1,13.2,6.4,0.0,,0
129,2001-05-10,22.6,250190390,KRAKÓW-OBSERWATORIUM,21.5,7.9,14.5,6.5,0.4,W,0
130,2001-05-11,17.65,250190390,KRAKÓW-OBSERWATORIUM,19.0,11.9,14.1,10.1,0.0,,0
131,2001-05-12,17.8,250190390,KRAKÓW-OBSERWATORIUM,15.2,7.3,10.8,5.9,0.0,,0
132,2001-05-13,18.8,250190390,KRAKÓW-OBSERWATORIUM,19.4,7.7,12.8,6.7,0.0,,0
133,2001-05-14,23.15,250190390,KRAKÓW-OBSERWATORIUM,23.2,5.6,14.5,3.9,0.0,,0
134,2001-05-15,29.6,250190390,KRAKÓW-OBSERWATORIUM,24.6,7.7,16.3,4.8,0.0,W,0
135,2001-05-16,29.05,250190390,KRAKÓW-OBSERWATORIUM,24.0,12.6,17.9,10.4,0.0,,0
136,2001-05-17,27.65,250190390,KRAKÓW-OBSERWATORIUM,28.6,10.6,19.5,7.9,0.1,W,0
137,2001-05-18,34.2,250190390,KRAKÓW-OBSERWATORIUM,24.6,14.4,18.1,11.9,4.1,W,0
138,2001-05-19,25.1,250190390,KRAKÓW-OBSERWATORIUM,16.9,9.7,12.9,9.3,0.2,W,0
139,2001-05-20,26.1,250190390,KRAKÓW-OBSERWATORIUM,19.4,6.6,13.5,5.0,0.0,,0
140,2001-05-21,30.7,250190390,KRAKÓW-OBSERWATORIUM,21.4,7.5,13.9,5.6,0.0,,0
141,2001-05-22,22.8,250190390,KRAKÓW-OBSERWATORIUM,17.6,9.8,12.7,9.8,0.0,,0
142,2001-05-23,32.1,250190390,KRAKÓW-OBSERWATORIUM,19.7,3.9,12.0,2.0,0.0,,0
143,2001-05-24,36.1,250190390,KRAKÓW-OBSERWATORIUM,25.6,5.4,16.0,3.8,0.0,,0
144,2001-05-25,35.6,250190390,KRAKÓW-OBSERWATORIUM,25.2,9.6,17.0,7.6,0.0,,0
145,2001-05-26,28.5,250190390,KRAKÓW-OBSERWATORIUM,20.0,7.2,13.2,4.3,0.0,,0
146,2001-05-27,29.0,250190390,KRAKÓW-OBSERWATORIUM,25.7,7.6,17.5,5.8,0.0,,0
147,2001-05-28,31.1,250190390,KRAKÓW-OBSERWATORIUM,23.0,16.3,18.2,14.7,11.9,W,0
148,2001-05-29,28.7,250190390,KRAKÓW-OBSERWATORIUM,23.4,13.9,18.4,13.7,2.0,W,0
149,2001-05-30,21.7,250190390,KRAKÓW-OBSERWATORIUM,20.1,13.4,16.0,12.0,0.0,,0
150,2001-05-31,23.65,250190390,KRAKÓW-OBSERWATORIUM,20.7,9.3,15.0,7.0,7.7,W,0
151,2001-06-01,19.700000000000003,250190390,KRAKÓW-OBSERWATORIUM,18.9,9.8,13.0,9.7,0.8,W,0
152,2001-06-02,17.65,250190390,KRAKÓW-OBSERWATORIUM,18.8,9.7,14.3,8.7,1.2,W,0
153,2001-06-03,18.75,250190390,KRAKÓW-OBSERWATORIUM,17.5,11.5,13.8,10.5,0.9,W,0
154,2001-06-04,25.9,250190390,KRAKÓW-OBSERWATORIUM,13.6,8.2,11.0,6.1,0.5,W,0
155,2001-06-05,16.9,250190390,KRAKÓW-OBSERWATORIUM,18.6,9.2,13.0,8.6,0.0,,0
156,2001-06-06,23.2,250190390,KRAKÓW-OBSERWATORIUM,20.5,9.2,14.7,8.3,0.0,,0
157,2001-06-07,32.05,250190390,KRAKÓW-OBSERWATORIUM,22.6,9.2,16.0,7.3,0.0,,0
158,2001-06-08,27.35,250190390,KRAKÓW-OBSERWATORIUM,24.0,13.1,17.7,10.6,4.7,W,0
159,2001-06-09,20.7,250190390,KRAKÓW-OBSERWATORIUM,17.4,14.0,15.3,13.1,1.4,W,0
160,2001-06-10,19.3,250190390,KRAKÓW-OBSERWATORIUM,15.2,12.8,13.8,12.1,13.3,W,0
161,2001-06-11,17.35,250190390,KRAKÓW-OBSERWATORIUM,14.6,10.8,12.5,10.1,3.8,W,0
162,2001-06-12,21.75,250190390,KRAKÓW-OBSERWATORIUM,19.0,9.2,13.9,7.8,0.3,W,0
163,2001-06-13,23.8,250190390,KRAKÓW-OBSERWATORIUM,20.9,8.3,14.3,6.2,0.0,,0
164,2001-06-14,24.55,250190390,KRAKÓW-OBSERWATORIUM,21.6,9.1,15.4,7.2,0.0,,0
165,2001-06-15,29.1,250190390,KRAKÓW-OBSERWATORIUM,24.5,11.5,17.6,9.8,0.0,,0
166,2001-06-16,31.65,250190390,KRAKÓW-OBSERWATORIUM,27.5,10.7,17.8,8.7,12.3,W,0
167,2001-06-17,25.95,250190390,KRAKÓW-OBSERWATORIUM,20.1,15.8,17.4,14.9,1.9,W,0
168,2001-06-18,20.05,250190390,KRAKÓW-OBSERWATORIUM,20.5,13.7,17.0,12.8,0.1,W,0
169,2001-06-19,20.7,250190390,KRAKÓW-OBSERWATORIUM,18.2,12.8,14.9,12.4,6.0,W,0
170,2001-06-20,22.700000000000003,250190390,KRAKÓW-OBSERWATORIUM,16.9,13.5,15.1,12.9,0.5,W,0
171,2001-06-21,30.8,250190390,KRAKÓW-OBSERWATORIUM,23.0,14.2,18.2,13.3,0.1,W,0
172,2001-06-22,22.5,250190390,KRAKÓW-OBSERWATORIUM,20.2,11.8,14.9,10.9,0.6,W,0
173,2001-06-23,14.75,250190390,KRAKÓW-OBSERWATORIUM,15.4,10.6,12.3,9.8,14.1,W,0
174,2001-06-24,16.55,250190390,KRAKÓW-OBSERWATORIUM,19.0,12.3,15.6,11.9,0.0,,0
175,2001-06-25,19.7,250190390,KRAKÓW-OBSERWATORIUM,23.7,13.0,18.2,11.8,0.0,,0
176,2001-06-26,23.450000000000003,250190390,KRAKÓW-OBSERWATORIUM,24.0,12.8,18.4,11.5,0.0,,0
177,2001-06-27,40.1,250190390,KRAKÓW-OBSERWATORIUM,25.4,12.5,18.6,10.5,6.3,W,0
178,2001-06-28,44.25,250190390,KRAKÓW-OBSERWATORIUM,27.9,12.1,19.7,10.8,0.0,,0
179,2001-06-29,36.75,250190390,KRAKÓW-OBSERWATORIUM,22.4,14.8,18.1,12.4,5.1,W,0
180,2001-06-30,32.05,250190390,KRAKÓW-OBSERWATORIUM,22.9,14.8,18.4,12.4,0.2,W,0
181,2001-07-01,22.700000000000003,250190390,KRAKÓW-OBSERWATORIUM,26.0,13.4,18.7,10.9,1.0,W,0
182,2001-07-02,26.05,250190390,KRAKÓW-OBSERWATORIUM,22.5,14.9,17.6,14.2,8.3,W,0
183,2001-07-03,21.05,250190390,KRAKÓW-OBSERWATORIUM,16.9,13.4,15.3,12.1,8.2,W,0
184,2001-07-04,32.5,250190390,KRAKÓW-OBSERWATORIUM,24.2,15.8,19.1,14.3,1.4,W,0
185,2001-07-05,27.85,250190390,KRAKÓW-OBSERWATORIUM,25.6,14.5,19.7,13.0,0.0,,0
186,2001-07-06,38.65,250190390,KRAKÓW-OBSERWATORIUM,28.1,14.8,21.4,13.1,0.0,,0
187,2001-07-07,35.7,250190390,KRAKÓW-OBSERWATORIUM,29.6,16.3,22.7,14.3,0.0,,0
188,2001-07-08,22.0,250190390,KRAKÓW-OBSERWATORIUM,25.6,18.6,21.4,16.8,0.8,W,0
189,2001-07-09,25.2,250190390,KRAKÓW-OBSERWATORIUM,23.7,17.5,20.1,16.1,0.9,W,0
190,2001-07-10,28.2,250190390,KRAKÓW-OBSERWATORIUM,24.8,14.9,19.4,13.2,0.2,W,0
191,2001-07-11,44.4,250190390,KRAKÓW-OBSERWATORIUM,28.7,14.4,21.0,12.4,9.4,W,0
192,2001-07-12,29.6,250190390,KRAKÓW-OBSERWATORIUM,24.2,14.8,19.2,14.3,0.0,,0
193,2001-07-13,39.5,250190390,KRAKÓW-OBSERWATORIUM,28.5,13.8,21.1,12.2,0.0,,0
194,2001-07-14,40.2,250190390,KRAKÓW-OBSERWATORIUM,31.6,16.4,23.9,14.3,0.0,,0
195,2001-07-15,40.0,250190390,KRAKÓW-OBSERWATORIUM,34.5,19.8,26.3,17.8,0.0,,0
196,2001-07-16,54.7,250190390,KRAKÓW-OBSERWATORIUM,35.5,19.8,25.8,17.5,15.7,W,0
197,2001-07-17,34.4,250190390,KRAKÓW-OBSERWATORIUM,25.2,16.6,19.2,16.3,17.5,W,0
198,2001-07-18,24.2,250190390,KRAKÓW-OBSERWATORIUM,20.3,13.8,16.5,13.3,0.8,W,0
199,2001-07-19,38.3,250190390,KRAKÓW-OBSERWATORIUM,26.2,12.1,18.9,10.5,1.2,W,0
200,2001-07-20,37.1,250190390,KRAKÓW-OBSERWATORIUM,24.5,17.2,19.7,16.1,7.3,W,0
201,2001-07-21,29.9,250190390,KRAKÓW-OBSERWATORIUM,21.9,14.2,17.8,13.3,0.0,W,0
202,2001-07-22,22.3,250190390,KRAKÓW-OBSERWATORIUM,20.3,16.7,18.0,16.4,15.5,W,0
203,2001-07-23,30.6,250190390,KRAKÓW-OBSERWATORIUM,22.6,17.5,19.8,16.6,10.6,W,0
204,2001-07-24,30.7,250190390,KRAKÓW-OBSERWATORIUM,23.0,17.1,19.1,16.3,32.5,W,0
205,2001-07-25,28.3,250190390,KRAKÓW-OBSERWATORIUM,24.0,17.4,19.2,15.2,16.3,W,0
206,2001-07-26,34.7,250190390,KRAKÓW-OBSERWATORIUM,21.7,17.2,19.3,16.4,20.9,W,0
207,2001-07-27,29.6,250190390,KRAKÓW-OBSERWATORIUM,19.8,17.9,18.6,17.4,2.2,W,0
208,2001-07-28,30.0,250190390,KRAKÓW-OBSERWATORIUM,27.9,15.7,20.9,14.1,0.0,,0
209,2001-07-29,26.8,250190390,KRAKÓW-OBSERWATORIUM,28.3,16.6,21.8,15.0,0.0,,0
210,2001-07-30,32.3,250190390,KRAKÓW-OBSERWATORIUM,28.5,17.7,22.7,16.0,0.0,,0
211,2001-07-31,37.7,250190390,KRAKÓW-OBSERWATORIUM,29.8,16.4,22.7,14.0,0.9,W,0
212,2001-08-01,35.0,250190390,KRAKÓW-OBSERWATORIUM,25.7,18.8,21.3,17.5,0.2,W,0
213,2001-08-02,44.6,250190390,KRAKÓW-OBSERWATORIUM,25.7,14.3,19.3,12.4,0.0,,0
214,2001-08-03,59.7,250190390,KRAKÓW-OBSERWATORIUM,31.2,14.4,22.1,12.6,0.0,,0
215,2001-08-04,38.3,250190390,KRAKÓW-OBSERWATORIUM,30.2,20.2,23.5,18.5,18.3,W,0
216,2001-08-05,23.8,250190390,KRAKÓW-OBSERWATORIUM,22.5,16.0,18.8,14.9,17.0,W,0
217,2001-08-06,28.7,250190390,KRAKÓW-OBSERWATORIUM,24.5,13.6,18.6,11.7,0.0,,0
218,2001-08-07,29.4,250190390,KRAKÓW-OBSERWATORIUM,27.2,12.6,19.6,10.6,0.0,,0
219,2001-08-08,32.2,250190390,KRAKÓW-OBSERWATORIUM,30.3,15.8,22.0,13.5,11.4,W,0
220,2001-08-09,39.2,250190390,KRAKÓW-OBSERWATORIUM,26.8,17.2,20.8,16.3,0.0,,0
221,2001-08-10,20.25,250190390,KRAKÓW-OBSERWATORIUM,21.0,16.8,18.4,16.0,3.7,W,0
222,2001-08-11,16.6,250190390,KRAKÓW-OBSERWATORIUM,20.5,15.2,16.8,13.8,0.0,,0
223,2001-08-12,14.9,250190390,KRAKÓW-OBSERWATORIUM,21.6,10.7,15.2,9.2,0.0,,0
224,2001-08-13,21.85,250190390,KRAKÓW-OBSERWATORIUM,24.6,9.8,17.0,8.4,0.0,,0
225,2001-08-14,25.7,250190390,KRAKÓW-OBSERWATORIUM,23.5,17.9,20.0,16.9,0.0,W,0
226,2001-08-15,21.55,250190390,KRAKÓW-OBSERWATORIUM,29.4,14.5,21.0,12.6,0.0,,0
227,2001-08-16,28.35,250190390,KRAKÓW-OBSERWATORIUM,31.0,16.7,22.7,14.4,0.0,,0
228,2001-08-17,36.1,250190390,KRAKÓW-OBSERWATORIUM,31.0,18.3,23.6,15.7,0.0,,0
