Date,Accident_Count,Road_conditions_Snow,Road_conditions_Wet,Road_conditions_Dry,Road_conditions_Frost,Road_conditions_Flood,Road_conditions_Missing_Data,Weather_conditions_Unknown,Weather_conditions_Rain,Weather_conditions_Snow,Weather_conditions_Fog,Weather_conditions_Clear,Weather_conditions_Clear_and_windy,Weather_conditions_Other,Weather_conditions_Rain_and_windy,Weather_conditions_Snow_and_windy,Weather_conditions_Missing_data,Road_type_Dual_carriageway,Road_type_Unknown,Road_type_Single_carriageway,Road_type_Roundabout,Road_type_One_way_sreet,Road_type_Slip_road,Light_conditions_Darkness_lights_lit,Light_conditions_Daylight,Light_conditions_Darkness_no_lights
1989-08-13,60,0,12,48,0,0,0,2,5,0,0,49,2,0,2,0,0,4,4,46,6,0,0,4,56,0
1989-08-14,107,0,14,93,0,0,0,1,6,0,0,96,3,0,1,0,0,6,5,87,9,0,0,3,102,2
1989-08-15,100,0,11,87,0,0,2,0,3,0,0,88,8,1,0,0,0,9,4,80,7,0,0,2,96,2
1989-08-16,121,0,14,107,0,0,0,0,4,0,0,113,0,2,2,0,0,6,6,103,6,0,0,6,112,3
1989-08-17,87,0,7,80,0,0,0,0,2,0,0,83,2,0,0,0,0,6,2,73,6,0,0,2,83,2
1989-08-18,131,1,1,129,0,0,0,0,0,0,0,130,0,1,0,0,0,12,6,108,5,0,0,13,113,5
1989-08-19,69,0,2,67,0,0,0,0,2,0,0,67,0,0,0,0,0,5,3,56,5,0,0,5,61,3
1989-08-20,54,0,1,53,0,0,0,0,1,0,0,53,0,0,0,0,0,4,2,44,4,0,0,6,47,1
1989-08-21,98,0,2,96,0,0,0,0,1,0,0,96,0,1,0,0,0,7,1,84,6,0,0,6,91,1
1989-08-22,93,0,1,92,0,0,0,0,1,0,0,92,0,0,0,0,0,4,1,83,5,0,0,3,90,0
1989-08-23,88,0,4,84,0,0,0,0,0,0,0,84,2,1,1,0,0,8,2,70,8,0,0,10,78,0
1989-08-24,105,0,7,98,0,0,0,1,5,0,0,97,1,1,0,0,0,6,3,83,13,0,0,7,96,2
1989-08-25,91,0,57,34,0,0,0,1,45,0,0,43,0,1,1,0,0,7,5,71,8,0,0,6,85,0
1989-08-26,46,0,28,18,0,0,0,0,22,0,1,23,0,0,0,0,0,2,0,39,5,0,0,2,43,1
1989-08-27,34,0,4,30,0,0,0,0,2,0,0,31,1,0,0,0,0,3,1,29,1,0,0,2,30,2
1989-08-28,57,0,1,56,0,0,0,0,1,0,0,54,1,1,0,0,0,5,3,49,0,0,0,4,49,4
1989-08-29,64,0,9,55,0,0,0,1,5,0,0,56,1,0,1,0,0,3,1,57,3,0,0,1,63,0
1989-08-30,88,0,15,73,0,0,0,0,12,0,0,75,0,1,0,0,0,5,1,75,7,0,0,7,79,2
1989-08-31,92,0,2,90,0,0,0,0,0,0,0,91,1,0,0,0,0,8,3,74,7,0,0,7,85,0
1989-09-01,85,0,53,32,0,0,0,2,26,0,0,55,2,0,0,0,0,6,1,69,9,0,0,44,34,7
1989-09-02,67,0,10,57,0,0,0,0,1,0,1,64,1,0,0,0,0,1,4,56,6,0,0,16,48,3
1989-09-03,68,0,27,41,0,0,0,0,18,0,0,45,3,0,2,0,0,7,2,51,8,0,0,13,55,0
1989-09-04,42,0,7,35,0,0,0,0,6,0,0,36,0,0,0,0,0,3,1,35,3,0,0,7,35,0
1989-09-05,94,0,1,93,0,0,0,2,0,0,0,92,0,0,0,0,0,6,7,77,4,0,0,3,91,0
1989-09-06,89,0,4,85,0,0,0,0,2,0,0,87,0,0,0,0,0,12,2,72,3,0,0,3,86,0
1989-09-07,51,0,5,46,0,0,0,0,4,0,0,47,0,0,0,0,0,7,1,40,3,0,0,3,47,1
1989-09-08,111,0,19,92,0,0,0,2,14,0,0,93,0,2,0,0,0,13,4,89,5,0,0,12,97,2
1989-09-09,55,0,6,49,0,0,0,1,2,0,0,49,2,0,1,0,0,3,4,45,3,0,0,5,47,3
1989-09-10,80,0,16,64,0,0,0,0,9,0,0,70,0,1,0,0,0,4,3,67,6,0,0,17,62,1
1989-09-11,90,0,40,49,0,1,0,0,22,0,0,60,2,2,4,0,0,6,2,68,14,0,0,32,54,4
1989-09-12,53,0,24,28,1,0,0,1,3,0,2,47,0,0,0,0,0,3,2,44,4,0,0,27,23,3
1989-09-13,83,0,26,56,0,0,1,4,7,0,2,68,1,1,0,0,0,6,2,66,9,0,0,5,76,2
1989-09-14,89,0,43,46,0,0,0,1,36,0,0,47,0,2,3,0,0,14,2,60,13,0,0,12,75,2
1989-09-15,85,0,29,56,0,0,0,2,18,0,0,64,0,1,0,0,0,8,4,66,7,0,0,12,71,2
1989-09-16,71,0,33,37,0,0,1,1,22,0,0,43,0,1,3,0,1,5,2,63,1,0,0,6,61,4
1989-09-17,67,0,11,56,0,0,0,1,7,0,0,59,0,0,0,0,0,4,1,59,3,0,0,6,58,3
1989-09-18,78,0,12,66,0,0,0,0,4,0,0,68,6,0,0,0,0,6,7,58,7,0,0,8,69,1
1989-09-19,95,0,1,94,0,0,0,0,0,0,0,94,1,0,0,0,0,9,2,77,7,0,0,8,85,2
1989-09-20,83,0,1,82,0,0,0,0,0,0,0,75,6,1,1,0,0,5,4,70,4,0,0,5,77,1
1989-09-21,118,0,4,114,0,0,0,0,1,0,0,116,1,0,0,0,0,16,2,90,10,0,0,13,103,2
1989-09-22,96,0,31,65,0,0,0,1,20,0,0,71,4,0,0,0,0,10,4,77,5,0,0,11,82,3
1989-09-23,60,0,0,60,0,0,0,0,0,0,0,59,1,0,0,0,0,6,1,53,0,0,0,8,52,0
1989-09-24,65,0,0,65,0,0,0,0,0,0,0,65,0,0,0,0,0,4,3,56,2,0,0,8,55,2
1989-09-25,83,0,1,82,0,0,0,0,0,0,2,81,0,0,0,0,0,4,3,67,9,0,0,6,77,0
1989-09-26,94,0,15,79,0,0,0,2,8,0,0,84,0,0,0,0,0,11,3,72,8,0,0,10,84,0
1989-09-27,81,0,14,67,0,0,0,2,5,0,0,74,0,0,0,0,0,7,1,64,9,0,0,14,66,1
1989-09-28,84,0,0,84,0,0,0,0,0,0,0,84,0,0,0,0,0,4,5,69,6,0,0,14,69,1
1989-09-29,110,0,0,109,0,0,1,0,0,0,0,110,0,0,0,0,0,12,3,86,9,0,0,22,84,4
1989-09-30,58,0,2,56,0,0,0,0,1,0,0,56,0,1,0,0,0,3,2,48,5,0,0,3,54,1
1989-10-01,72,0,15,56,1,0,0,0,3,0,0,68,1,0,0,0,0,11,4,49,8,0,0,23,43,6
1989-10-02,73,0,15,58,0,0,0,4,5,0,0,64,0,0,0,0,0,4,1,60,8,0,0,19,53,1
1989-10-03,62,0,33,29,0,0,0,1,23,0,0,34,1,1,2,0,0,5,5,47,5,0,0,10,51,1
1989-10-04,66,0,33,33,0,0,0,0,14,0,0,48,2,2,0,0,0,6,2,54,4,0,0,8,58,0
1989-10-05,87,0,0,87,0,0,0,0,0,0,0,87,0,0,0,0,0,4,3,73,7,0,0,5,82,0
1989-10-06,77,0,3,74,0,0,0,0,1,0,0,76,0,0,0,0,0,5,2,66,4,0,0,4,72,1
1989-10-07,94,0,15,79,0,0,0,0,12,0,0,82,0,0,0,0,0,4,5,77,8,0,0,5,88,1
1989-10-08,109,0,31,78,0,0,0,1,21,0,0,84,0,3,0,0,0,8,5,88,8,0,0,10,96,3
1989-10-09,46,0,5,41,0,0,0,0,3,0,0,43,0,0,0,0,0,3,0,40,3,0,0,4,42,0
1989-10-10,80,0,11,69,0,0,0,1,0,0,0,79,0,0,0,0,0,12,2,62,4,0,0,11,64,5
1989-10-11,73,0,65,8,0,0,0,6,26,0,0,32,4,3,2,0,0,5,1,58,9,0,0,31,41,1
1989-10-12,21,0,10,10,0,0,1,0,0,0,4,16,0,0,0,0,1,3,0,16,2,0,0,7,11,3
1989-10-13,95,0,23,72,0,0,0,1,12,0,0,81,1,0,0,0,0,10,3,70,12,0,0,18,76,1
1989-10-14,62,0,11,51,0,0,0,1,2,0,0,54,2,3,0,0,0,1,1,55,5,0,0,11,49,2
1989-10-15,30,0,3,27,0,0,0,0,2,0,0,28,0,0,0,0,0,2,1,24,3,0,0,8,22,0
1989-10-16,84,0,10,74,0,0,0,0,3,0,0,79,2,0,0,0,0,6,2,63,13,0,0,24,58,2
1989-10-17,99,0,11,88,0,0,0,0,4,0,2,92,0,1,0,0,0,6,4,78,11,0,0,19,76,4
1989-10-18,91,0,14,77,0,0,0,1,3,0,8,78,0,1,0,0,0,7,6,72,6,0,0,19,70,2
1989-10-19,93,0,32,61,0,0,0,0,22,0,0,69,0,0,2,0,0,9,3,75,6,0,0,28,64,1
1989-10-20,110,0,53,57,0,0,0,1,19,0,0,64,7,2,17,0,0,7,2,90,11,0,0,31,74,5
1989-10-21,41,0,28,13,0,0,0,4,8,0,0,18,3,1,7,0,0,4,5,27,5,0,0,12,28,1
1989-10-22,36,0,20,16,0,0,0,0,8,0,0,21,5,1,1,0,0,2,0,29,5,0,0,9,27,0
1989-10-23,77,0,40,37,0,0,0,4,14,0,0,59,0,0,0,0,0,7,5,58,7,0,0,21,52,4
1989-10-24,103,0,13,90,0,0,0,1,3,0,0,95,3,0,1,0,0,11,3,82,7,0,0,18,77,8
1989-10-25,80,0,11,69,0,0,0,0,7,0,0,72,1,0,0,0,0,6,2,65,7,0,0,15,63,2
1989-10-26,97,0,54,43,0,0,0,0,34,0,0,59,0,2,2,0,0,8,2,72,15,0,0,26,67,4
1989-10-27,65,0,26,39,0,0,0,1,14,0,1,48,0,1,0,0,0,4,1,52,8,0,0,15,47,3
1989-10-28,43,0,26,17,0,0,0,1,8,0,0,10,13,0,11,0,0,2,3,36,2,0,0,8,35,0
1989-10-29,47,0,34,13,0,0,0,1,18,0,0,16,4,0,8,0,0,3,2,33,9,0,0,17,29,1
1989-10-30,69,0,11,58,0,0,0,3,1,0,0,62,3,0,0,0,0,7,0,52,10,0,0,16,42,11
1989-10-31,92,0,35,57,0,0,0,3,13,0,0,74,0,2,0,0,0,6,4,76,6,0,0,26,61,5
1989-11-01,69,0,15,50,4,0,0,2,3,0,0,63,1,0,0,0,0,7,3,51,8,0,0,25,39,5
1989-11-02,60,0,21,38,1,0,0,1,10,0,0,45,3,1,0,0,0,6,1,46,7,0,0,15,44,1
1989-11-03,46,0,1,45,0,0,0,0,0,0,0,45,1,0,0,0,0,1,2,43,0,0,0,2,44,0
1989-11-04,48,0,27,21,0,0,0,0,11,0,0,21,10,0,6,0,0,6,3,35,4,0,0,1,47,0
1989-11-05,74,0,21,53,0,0,0,0,12,0,0,62,0,0,0,0,0,11,1,58,4,0,0,5,69,0
1989-11-06,77,0,1,76,0,0,0,0,0,0,0,77,0,0,0,0,0,6,3,68,0,0,0,6,70,1
1989-11-07,127,0,0,127,0,0,0,0,0,0,0,127,0,0,0,0,0,6,6,108,7,0,0,3,123,1
1989-11-08,80,0,18,62,0,0,0,0,9,0,0,65,5,1,0,0,0,5,2,65,8,0,0,7,71,2
1989-11-09,73,0,14,59,0,0,0,1,7,0,0,62,1,2,0,0,0,7,4,59,3,0,0,7,64,2
1989-11-10,80,0,28,52,0,0,0,2,16,0,0,62,0,0,0,0,0,3,3,57,17,0,0,27,50,3
1989-11-11,49,0,12,37,0,0,0,0,2,0,0,46,1,0,0,0,0,5,4,40,0,0,0,16,31,2
1989-11-12,59,0,20,38,1,0,0,5,4,0,2,48,0,0,0,0,0,7,1,43,8,0,0,25,32,2
1989-11-13,62,0,27,35,0,0,0,2,0,0,27,33,0,0,0,0,0,4,0,52,6,0,0,24,36,2
1989-11-14,48,0,24,24,0,0,0,1,3,0,17,27,0,0,0,0,0,2,3,35,8,0,0,21,25,2
1989-11-15,53,0,6,47,0,0,0,1,0,0,0,52,0,0,0,0,0,3,1,41,8,0,0,25,27,1
1989-11-16,92,0,7,83,1,0,1,2,1,0,0,88,1,0,0,0,0,4,3,78,7,0,0,28,58,6
1989-11-17,56,0,5,51,0,0,0,0,2,0,0,54,0,0,0,0,0,4,2,48,2,0,0,23,30,3
1989-11-18,39,0,13,26,0,0,0,1,0,0,0,37,0,1,0,0,0,5,1,29,4,0,0,12,25,2
1989-11-19,42,0,7,34,0,0,1,0,2,0,0,39,0,0,0,0,1,3,0,36,3,0,0,13,27,2
1989-11-20,61,0,17,44,0,0,0,2,1,0,3,55,0,0,0,0,0,3,4,50,4,0,0,30,26,5
1989-11-21,65,0,17,48,0,0,0,2,1,0,8,52,1,0,1,0,0,2,4,53,6,0,0,26,35,4
1989-11-22,69,0,11,58,0,0,0,0,3,0,0,65,1,0,0,0,0,3,1,60,5,0,0,18,46,5
1989-11-23,77,0,7,64,5,0,1,1,0,0,0,74,0,1,0,0,1,6,2,57,12,0,0,26,48,3
1989-11-24,92,0,19,64,8,0,1,5,4,0,1,77,0,4,0,0,1,3,2,73,14,0,0,39,48,5
1989-11-25,39,0,7,27,5,0,0,0,0,0,0,39,0,0,0,0,0,1,2,34,2,0,0,4,33,2
1989-11-26,29,0,9,14,6,0,0,1,0,0,1,27,0,0,0,0,0,0,1,23,5,0,0,10,18,1
1989-11-27,78,0,17,53,8,0,0,3,2,0,0,73,0,0,0,0,0,6,3,60,9,0,0,30,45,3
1989-11-28,66,0,30,31,5,0,0,3,1,0,2,60,0,0,0,0,0,2,1,53,10,0,0,32,29,5
1989-11-29,93,0,36,47,9,0,1,3,1,0,2,86,0,0,0,0,1,7,1,69,16,0,0,29,58,6
1989-11-30,85,0,47,29,8,0,1,6,3,0,9,66,0,0,0,0,1,5,0,70,10,0,0,29,52,4
1989-12-01,81,0,47,33,1,0,0,2,23,0,0,53,0,2,0,1,0,6,0,64,11,0,0,40,31,10
1989-12-02,36,0,9,26,1,0,0,1,0,0,0,33,2,0,0,0,0,3,0,32,1,0,0,7,29,0
1989-12-03,34,0,14,20,0,0,0,0,13,0,0,19,2,0,0,0,0,1,0,31,2,0,0,4,29,1
1989-12-04,75,0,8,66,0,0,1,0,5,0,0,67,2,0,1,0,0,7,0,62,6,0,0,5,70,0
1989-12-05,87,0,24,63,0,0,0,0,11,0,0,63,11,0,2,0,0,6,4,70,7,0,0,4,82,1
1989-12-06,87,0,1,86,0,0,0,0,0,0,0,87,0,0,0,0,0,8,1,72,6,0,0,2,84,1
1989-12-07,130,0,1,128,0,0,1,0,1,0,0,127,0,2,0,0,0,11,5,107,7,0,0,2,127,1
1989-12-08,69,0,4,65,0,0,0,0,1,0,0,65,1,0,2,0,0,6,1,59,3,0,0,6,62,1
1989-12-09,83,0,21,62,0,0,0,1,12,0,0,70,0,0,0,0,0,10,3,61,9,0,0,10,71,2
1989-12-10,94,0,22,72,0,0,0,0,12,0,0,80,0,1,1,0,0,8,5,76,5,0,0,19,70,5
1989-12-11,35,0,10,25,0,0,0,1,4,0,2,28,0,0,0,0,0,2,1,27,5,0,0,11,24,0
1989-12-12,66,1,54,10,0,0,1,6,27,0,2,29,1,0,0,0,1,4,1,53,8,0,0,26,31,9
1989-12-13,87,1,79,7,0,0,0,4,57,2,3,15,1,1,4,0,0,6,2,62,17,0,0,51,29,7
1989-12-14,102,0,92,8,0,0,2,2,61,1,0,17,7,1,11,0,2,5,2,81,14,0,0,61,31,10
1989-12-15,50,0,29,20,0,0,1,0,8,0,0,38,1,1,1,0,1,2,0,39,9,0,0,22,23,5
1989-12-16,39,0,32,7,0,0,0,3,13,0,1,14,3,1,4,0,0,2,0,30,7,0,0,14,22,3
1989-12-17,14,0,10,4,0,0,0,2,0,0,0,6,5,1,0,0,0,2,0,12,0,0,0,6,6,2
1989-12-18,90,3,69,18,0,0,0,0,49,4,0,28,0,2,7,0,0,6,2,62,20,0,0,45,37,8
1989-12-19,72,0,34,32,6,0,0,3,11,0,0,53,3,2,0,0,0,6,0,55,11,0,0,34,35,3
1989-12-20,86,1,76,7,0,1,1,3,41,0,0,24,0,1,16,0,1,3,2,65,16,0,0,40,35,11
1989-12-21,67,0,46,20,0,0,1,1,17,0,0,34,7,3,4,0,1,2,1,50,14,0,0,33,31,3
1989-12-22,43,0,12,30,0,0,1,2,0,0,0,37,1,1,1,0,1,2,0,39,2,0,0,16,24,3
1989-12-23,20,0,10,10,0,0,0,1,1,0,0,15,0,0,3,0,0,1,2,11,6,0,0,5,15,0
1989-12-24,13,0,8,5,0,0,0,0,4,0,0,6,1,0,2,0,0,1,0,11,1,0,0,7,5,1
1989-12-25,14,0,5,7,0,0,2,1,0,0,0,10,0,1,0,0,2,0,0,13,1,0,0,0,11,3
1989-12-26,17,0,10,6,1,0,0,1,1,0,1,14,0,0,0,0,0,1,2,11,3,0,0,4,12,1
1989-12-27,35,0,13,19,1,0,2,2,0,0,0,31,0,0,0,0,2,0,0,31,4,0,0,6,26,3
1989-12-28,42,0,9,30,0,0,3,1,0,0,1,37,0,0,0,0,3,1,1,39,1,0,0,8,29,5
1989-12-29,31,0,1,28,1,0,1,0,0,0,0,30,0,0,0,0,1,6,1,22,2,0,0,15,14,2
1989-12-30,25,0,4,18,0,0,3,0,1,0,0,21,0,0,0,0,3,0,1,21,3,0,0,9,11,5
1989-12-31,13,0,1,11,0,0,1,2,0,0,0,10,0,0,0,0,1,1,0,9,3,0,0,5,7,1
1990-01-01,18,0,10,8,0,0,0,0,8,0,0,10,0,0,0,0,0,0,0,17,1,0,0,12,5,1
1990-01-02,73,0,56,16,0,0,1,3,16,1,0,27,3,0,23,0,0,3,3,59,8,0,0,32,36,5
1990-01-03,49,0,17,30,2,0,0,1,4,2,0,34,4,2,1,1,0,2,2,41,4,0,0,7,42,0
1990-01-04,67,0,1,66,0,0,0,0,0,0,1,66,0,0,0,0,0,6,2,55,4,0,0,0,67,0
1990-01-05,136,0,1,135,0,0,0,0,0,0,1,135,0,0,0,0,0,3,3,119,11,0,0,6,130,0
1990-01-06,86,0,22,64,0,0,0,0,18,0,0,66,1,1,0,0,0,4,5,70,7,0,0,4,82,0
1990-01-07,42,0,17,25,0,0,0,3,7,0,0,27,4,1,0,0,0,4,1,32,5,0,0,2,39,1
1990-01-08,101,0,0,100,0,0,1,0,0,0,0,101,0,0,0,0,0,9,3,82,7,0,0,3,97,1
1990-01-09,71,0,2,68,0,0,1,0,1,0,0,69,0,0,1,0,0,5,1,59,6,0,0,4,64,3
1990-01-10,83,0,1,81,0,0,1,1,1,1,0,80,0,0,0,0,0,8,3,64,8,0,0,9,72,2
1990-01-11,79,0,13,66,0,0,0,1,4,0,1,72,1,0,0,0,0,5,4,63,7,0,0,20,56,3
1990-01-12,19,0,3,15,1,0,0,0,0,0,0,19,0,0,0,0,0,0,0,17,2,0,0,9,10,0
1990-01-13,60,0,17,38,5,0,0,1,1,0,0,55,0,1,2,0,0,4,3,46,7,0,0,17,42,1
1990-01-14,48,0,30,18,0,0,0,1,4,0,1,41,1,0,0,0,0,6,1,36,5,0,0,11,34,3
1990-01-15,76,0,44,31,1,0,0,1,15,0,0,54,4,1,1,0,0,7,4,60,5,0,0,30,40,6
1990-01-16,56,0,28,28,0,0,0,2,11,0,0,32,7,0,4,0,0,6,1,45,4,0,0,29,23,4
1990-01-17,72,0,16,55,0,0,1,1,1,0,0,57,9,1,3,0,0,3,1,61,7,0,0,19,44,9
1990-01-18,83,0,11,69,3,0,0,1,3,0,0,76,3,0,0,0,0,9,4,59,11,0,0,32,49,2
1990-01-19,67,0,42,25,0,0,0,2,20,0,0,33,6,0,6,0,0,1,2,52,12,0,0,38,26,3
1990-01-20,59,0,21,37,0,1,0,1,6,0,0,48,2,0,2,0,0,8,3,43,5,0,0,13,43,3
1990-01-21,34,0,20,14,0,0,0,1,7,0,0,24,1,0,1,0,0,3,2,28,1,0,0,14,19,1
1990-01-22,72,0,25,47,0,0,0,0,6,0,0,59,3,1,3,0,0,4,1,55,12,0,0,25,43,4
1990-01-23,91,0,60,30,0,0,1,0,26,0,0,32,6,2,24,1,0,7,1,66,17,0,0,36,51,4
1990-01-24,66,1,30,33,2,0,0,2,5,3,0,49,3,1,3,0,0,6,1,53,6,0,0,29,34,3
1990-01-25,44,0,34,10,0,0,0,0,10,1,0,10,8,0,15,0,0,4,0,37,3,0,0,13,25,6
1990-01-26,62,0,12,49,1,0,0,1,4,0,0,45,9,0,3,0,0,7,0,48,7,0,0,18,42,2
1990-01-27,45,0,28,16,1,0,0,0,11,0,0,26,0,2,6,0,0,2,0,37,6,0,0,10,33,2
1990-01-28,32,1,15,16,0,0,0,0,4,0,0,24,2,0,2,0,0,1,0,27,4,0,0,12,18,2
1990-01-29,67,0,58,8,1,0,0,2,27,0,0,23,4,1,10,0,0,3,2,56,6,0,0,27,35,5
1990-01-30,87,0,64,23,0,0,0,3,23,0,0,41,6,0,14,0,0,7,3,68,9,0,0,43,41,3
1990-01-31,62,0,45,16,0,0,1,0,14,0,0,32,5,1,10,0,0,3,2,51,6,0,0,28,33,1
1990-02-01,58,0,36,20,2,0,0,3,24,0,2,29,0,0,0,0,0,3,3,48,4,0,0,23,33,2
1990-02-02,61,0,34,26,0,0,1,2,5,0,0,33,12,1,7,0,1,5,1,48,7,0,0,23,35,3
1990-02-03,62,1,10,48,2,0,1,1,0,1,0,56,2,1,0,0,1,7,0,52,3,0,0,10,51,1
1990-02-04,56,0,17,39,0,0,0,2,14,0,0,36,4,0,0,0,0,1,1,48,6,0,0,6,50,0
1990-02-05,119,0,0,119,0,0,0,0,0,0,0,119,0,0,0,0,0,10,5,95,9,0,0,6,113,0
1990-02-06,53,0,4,49,0,0,0,0,2,0,0,49,2,0,0,0,0,4,3,44,2,0,0,4,48,1
1990-02-07,98,0,5,93,0,0,0,0,1,0,0,96,1,0,0,0,0,5,4,77,12,0,0,6,90,2
1990-02-08,99,0,0,98,0,0,1,0,0,0,0,98,1,0,0,0,0,11,1,83,4,0,0,5,94,0
1990-02-09,66,0,3,63,0,0,0,0,2,0,0,63,0,0,1,0,0,7,1,52,6,0,0,5,61,0
1990-02-10,70,0,5,65,0,0,0,0,3,0,0,64,2,0,1,0,0,2,4,59,5,0,0,7,61,2
1990-02-11,84,0,39,44,0,0,1,3,22,0,1,57,1,0,0,0,0,4,1,64,15,0,0,34,47,3
1990-02-12,27,0,2,24,0,0,1,0,0,0,0,26,1,0,0,0,0,1,1,21,4,0,0,10,17,0
1990-02-13,61,0,48,12,1,0,0,2,27,0,0,23,1,2,6,0,0,2,1,48,10,0,0,18,39,4
1990-02-14,62,0,35,27,0,0,0,1,24,0,0,33,1,1,2,0,0,7,4,45,6,0,0,23,34,5
1990-02-15,67,0,19,46,1,0,1,3,1,0,0,56,3,0,3,0,1,3,1,53,10,0,0,20,45,2
1990-02-16,74,0,14,58,2,0,0,0,0,0,0,71,0,3,0,0,0,8,3,56,7,0,0,10,59,5
1990-02-17,32,0,15,17,0,0,0,0,8,0,0,21,1,0,2,0,0,1,1,27,3,0,0,8,22,2
1990-02-18,32,0,3,29,0,0,0,0,0,0,0,30,2,0,0,0,0,2,0,29,1,0,0,8,22,2
1990-02-19,59,0,33,26,0,0,0,1,15,0,0,33,7,0,3,0,0,4,4,41,10,0,0,16,41,2
1990-02-20,56,0,25,29,0,0,2,1,14,0,0,29,7,2,1,0,2,4,0,46,6,0,0,17,34,5
1990-02-21,76,0,21,55,0,0,0,0,6,0,0,57,11,0,2,0,0,5,5,63,3,0,0,14,61,1
1990-02-22,101,0,2,99,0,0,0,0,1,0,0,95,2,2,1,0,0,9,0,87,5,0,0,18,80,3
1990-02-23,92,0,14,78,0,0,0,0,5,0,0,85,0,0,2,0,0,6,1,80,5,0,0,18,71,3
1990-02-24,31,0,7,24,0,0,0,1,1,0,0,25,4,0,0,0,0,4,1,23,3,0,0,5,25,1
1990-02-25,29,0,23,6,0,0,0,1,9,0,0,15,1,0,3,0,0,1,2,24,2,0,0,6,22,1
1990-02-26,39,0,27,12,0,0,0,0,2,0,0,10,16,0,11,0,0,2,2,30,5,0,0,13,26,0
1990-02-27,45,2,13,30,0,0,0,1,5,0,0,17,18,0,2,2,0,6,0,33,6,0,0,10,33,2
1990-02-28,62,0,46,15,1,0,0,0,20,4,0,15,8,0,15,0,0,3,4,47,8,0,0,15,45,2
1990-03-01,52,0,13,39,0,0,0,1,1,0,0,50,0,0,0,0,0,4,1,37,10,0,0,21,25,6
1990-03-02,44,1,19,24,0,0,0,0,4,0,0,35,0,0,4,1,0,4,0,38,2,0,0,7,31,6
1990-03-03,38,0,1,36,0,0,1,1,1,0,0,33,1,1,0,0,1,1,0,34,3,0,0,3,33,2
1990-03-04,68,2,16,50,0,0,0,1,9,0,0,54,0,1,1,2,0,2,1,59,6,0,0,3,64,1
1990-03-05,119,0,2,117,0,0,0,1,2,0,0,114,0,1,0,1,0,9,6,96,8,0,0,4,114,1
1990-03-06,43,0,11,32,0,0,0,0,8,0,0,35,0,0,0,0,0,3,0,36,4,0,0,3,38,2
1990-03-07,99,0,2,97,0,0,0,0,0,0,0,98,1,0,0,0,0,4,2,88,5,0,0,3,94,2
1990-03-08,113,0,1,112,0,0,0,0,1,0,0,112,0,0,0,0,0,7,3,92,11,0,0,9,101,3
1990-03-09,88,0,12,73,1,0,2,3,7,0,0,77,1,0,0,0,0,9,1,69,9,0,0,6,80,2
1990-03-10,95,0,48,47,0,0,0,0,35,0,0,58,0,1,1,0,0,4,3,72,16,0,0,10,82,3
1990-03-11,49,0,2,47,0,0,0,0,1,0,0,48,0,0,0,0,0,3,4,36,6,0,0,10,36,3
1990-03-12,65,0,10,55,0,0,0,0,1,0,0,62,0,1,0,1,0,2,3,50,10,0,0,30,28,7
1990-03-13,73,0,24,49,0,0,0,0,8,0,0,63,2,0,0,0,0,6,4,54,9,0,0,7,63,3
1990-03-14,52,0,2,50,0,0,0,0,0,0,0,50,1,1,0,0,0,5,1,41,5,0,0,4,45,3
1990-03-15,78,0,4,73,0,0,1,0,2,0,0,72,2,0,1,0,1,9,5,55,9,0,0,8,66,4
1990-03-16,78,0,1,77,0,0,0,0,1,0,0,76,0,0,1,0,0,2,1,67,8,0,0,17,58,3
1990-03-17,77,0,0,75,0,0,2,1,0,0,0,73,1,0,0,0,2,10,3,59,5,0,0,10,63,4
1990-03-18,51,0,1,50,0,0,0,0,0,0,0,48,1,0,2,0,0,5,3,38,5,0,0,8,42,1
1990-03-19,66,0,20,46,0,0,0,1,16,0,0,46,1,1,1,0,0,3,1,57,5,0,0,13,51,2
1990-03-20,62,0,2,60,0,0,0,1,0,0,0,60,0,0,1,0,0,4,4,49,5,0,0,8,54,0
1990-03-21,74,0,11,62,1,0,0,0,7,0,0,64,2,1,0,0,0,6,3,60,5,0,0,9,65,0
1990-03-22,68,0,0,68,0,0,0,1,0,0,0,65,1,0,1,0,0,5,2,57,4,0,0,6,58,4
1990-03-23,63,0,4,59,0,0,0,1,1,0,0,56,4,0,1,0,0,4,2,54,3,0,0,11,52,0
1990-03-24,39,0,9,30,0,0,0,0,5,0,0,30,1,1,2,0,0,3,2,33,1,0,0,4,35,0
1990-03-25,37,0,3,33,1,0,0,1,2,0,0,31,2,0,1,0,0,0,3,33,1,0,0,4,33,0
1990-03-26,62,0,0,61,0,0,1,0,0,0,0,62,0,0,0,0,0,6,1,50,5,0,0,3,56,3
1990-03-27,63,0,1,62,0,0,0,0,1,0,0,60,0,0,2,0,0,2,2,54,5,0,0,5,56,2
1990-03-28,66,0,4,62,0,0,0,1,1,0,0,63,0,1,0,0,0,5,3,56,2,0,0,9,56,1
1990-03-29,53,0,4,49,0,0,0,0,2,0,0,50,0,1,0,0,0,3,2,47,1,0,0,3,50,0
1990-03-30,83,0,1,82,0,0,0,1,0,0,0,79,0,2,1,0,0,7,2,67,7,0,0,9,72,2
1990-03-31,59,0,0,59,0,0,0,0,0,0,0,58,0,0,1,0,0,2,2,54,1,0,0,6,53,0
