Date,Accident_Count,Road_conditions_Snow,Road_conditions_Wet,Road_conditions_Dry,Road_conditions_Frost,Road_conditions_Flood,Road_conditions_Missing_Data,Weather_conditions_Unknown,Weather_conditions_Rain,Weather_conditions_Snow,Weather_conditions_Fog,Weather_conditions_Clear,Weather_conditions_Clear_and_windy,Weather_conditions_Other,Weather_conditions_Rain_and_windy,Weather_conditions_Snow_and_windy,Weather_conditions_Missing_data,Road_type_Dual_carriageway,Road_type_Unknown,Road_type_Single_carriageway,Road_type_Roundabout,Road_type_One_way_sreet,Road_type_Slip_road,Light_conditions_Darkness_lights_lit,Light_conditions_Daylight,Light_conditions_Darkness_no_lights
1979-02-18,13,2,4,4,3,0,0,2,2,0,0,9,0,0,0,0,0,1,1,11,0,0,0,4,9,0
1979-02-19,29,2,13,14,0,0,0,10,0,0,1,16,0,2,0,0,0,4,7,16,2,0,0,9,17,3
1979-02-20,29,1,15,13,0,0,0,7,1,0,2,19,0,0,0,0,0,5,5,19,0,0,0,6,22,1
1979-02-21,22,0,8,14,0,0,0,5,1,0,0,16,0,0,0,0,0,2,1,18,1,0,0,7,14,1
1979-02-22,57,1,26,29,1,0,0,11,9,0,0,33,2,2,0,0,0,4,7,43,3,0,0,8,47,2
1979-02-23,57,6,5,41,5,0,0,17,1,0,0,38,1,0,0,0,0,5,11,38,3,0,0,12,43,2
1979-02-24,32,0,2,29,1,0,0,6,0,0,0,26,0,0,0,0,0,1,2,28,1,0,0,3,27,2
1979-02-25,33,0,1,32,0,0,0,7,0,0,0,26,0,0,0,0,0,1,2,29,1,0,0,6,26,1
1979-02-26,51,0,5,45,1,0,0,17,2,0,0,32,0,0,0,0,0,6,10,30,5,0,0,14,37,0
1979-02-27,58,0,11,47,0,0,0,8,10,0,0,39,0,0,1,0,0,7,5,43,3,0,0,10,45,3
1979-02-28,55,4,20,31,0,0,0,10,11,5,0,26,1,0,0,2,0,5,7,40,3,0,0,7,47,1
1979-03-01,11,2,3,1,5,0,0,5,0,1,0,5,0,0,0,0,0,2,3,6,0,0,0,2,8,1
1979-03-02,37,0,4,32,0,0,1,11,0,0,0,25,1,0,0,0,0,3,4,29,1,0,0,4,33,0
1979-03-03,30,0,14,16,0,0,0,3,10,0,0,13,3,0,1,0,0,0,4,23,3,0,0,9,20,1
1979-03-04,51,0,15,36,0,0,0,14,6,1,0,29,0,0,1,0,0,2,13,34,2,0,0,3,48,0
1979-03-05,77,0,18,59,0,0,0,27,10,0,0,38,2,0,0,0,0,8,17,48,4,0,0,3,73,1
1979-03-06,53,0,1,52,0,0,0,13,0,0,0,39,1,0,0,0,0,3,10,37,3,0,0,5,48,0
1979-03-07,98,0,1,97,0,0,0,25,1,0,0,72,0,0,0,0,0,11,15,69,3,0,0,4,94,0
1979-03-08,103,0,18,85,0,0,0,23,11,0,0,68,0,1,0,0,0,9,16,77,1,0,0,8,93,2
1979-03-09,94,0,5,89,0,0,0,20,2,0,0,70,2,0,0,0,0,2,14,73,5,0,0,3,87,4
1979-03-10,74,0,32,42,0,0,0,20,10,0,3,39,1,1,0,0,0,4,15,46,9,0,0,8,65,1
1979-03-11,45,0,30,14,0,1,0,7,21,0,1,16,0,0,0,0,0,4,5,30,6,0,0,7,34,4
1979-03-12,66,0,15,50,0,1,0,14,6,0,0,43,1,0,2,0,0,4,2,52,8,0,0,25,33,8
1979-03-13,48,0,36,12,0,0,0,2,35,0,0,11,0,0,0,0,0,6,13,27,2,0,0,10,38,0
1979-03-14,50,0,23,27,0,0,0,6,11,2,0,24,3,0,3,1,0,1,9,37,3,0,0,9,41,0
1979-03-15,34,2,16,16,0,0,0,3,7,8,0,15,0,0,1,0,0,2,3,27,2,0,0,9,24,1
1979-03-16,57,20,31,4,2,0,0,5,11,30,0,3,0,0,1,7,0,3,17,35,2,0,0,6,50,1
1979-03-17,19,1,8,10,0,0,0,6,1,2,0,10,0,0,0,0,0,1,2,15,1,0,0,0,19,0
